Popisky ?ádk?,Po?et z weather_description
broken clouds,1909
few clouds,1519
fog,90
freezing rain,5
haze,397
heavy intensity rain,284
heavy snow,16
light intensity drizzle,99
light rain,5723
light rain and snow,2
light snow,447
mist,3334
moderate rain,1321
overcast clouds,5027
proximity thunderstorm,19
scattered clouds,1222
shower rain,80
sky is clear,15732
smoke,73
snow,135
squalls,4
thunderstorm,112
thunderstorm with heavy rain,4
thunderstorm with light rain,34
thunderstorm with rain,12
very heavy rain,8
(prázdné),
Celkový sou?et,37608
